0.16,5.4270,5.4241,5.4251,5.4254,5.4261,5.4254,
0.19,5.4262,5.4257,5.4261,5.4257,5.4259,5.4255,
0.17,5.4252,5.4246,5.4257,5.4236,5.4265,5.4248,
0.20,5.4261,5.4260,5.4258,5.4259,5.4269,5.4268,
0.18,5.4263,5.4256,5.4256,5.4252,5.4249,5.4258,
0.21,5.4257,5.4250,5.4256,5.4251,5.4261,5.4270,
0.19,5.4258,5.4258,5.4256,5.4250,5.4267,5.4258,
0.22,5.4276,5.4281,5.4270,5.4266,5.4281,5.4280,
0.20,5.4274,5.4263,5.4254,5.4253,5.4268,5.4266,
0.23,5.4270,5.4267,5.4266,5.4268,5.4266,5.4278,
0.21,5.4273,5.4270,5.4260,5.4260,5.4281,5.4277,
0.24,5.4266,5.4260,5.4279,5.4263,5.4277,5.4276,
0.25,5.4292,5.4282,5.4287,5.4278,5.4295,5.4293,
0.22,5.4290,5.4275,5.4275,5.4262,5.4284,5.4284,
0.26,5.4286,5.4280,5.4290,5.4288,5.4291,5.4289,
0.23,5.4289,5.4263,5.4268,5.4262,5.4282,5.4272,
0.27,5.4278,5.4285,5.4294,5.4280,5.4284,5.4277,
0.24,5.4293,5.4278,5.4283,5.4278,5.4299,5.4283,
0.28,5.4298,5.4281,5.4293,5.4279,5.4304,5.4298,
0.25,5.4303,5.4288,5.4293,5.4278,5.4304,5.4292,
0.29,5.4299,5.4289,5.4293,5.4303,5.4293,5.4301,
0.26,5.4306,5.4282,5.4294,5.4285,5.4301,5.4287,
0.30,5.4300,5.4296,5.4293,5.4284,5.4296,5.4300,
0.27,5.4287,5.4290,5.4286,5.4280,5.4287,5.4280,
0.31,5.4313,5.4304,5.4293,5.4296,5.4297,5.4303,
0.28,5.4306,5.4291,5.4302,5.4288,5.4309,5.4300,
0.32,5.4307,5.4299,5.4307,5.4308,5.4310,5.4310,
0.33,5.4312,5.4313,5.4314,5.4305,5.4320,5.4312,
0.29,5.4311,5.4298,5.4299,5.4309,5.4300,5.4305,
0.34,5.4323,5.4316,5.4316,5.4311,5.4324,5.4318,
0.30,5.4307,5.4308,5.4302,5.4302,5.4297,5.4308,
0.35,5.4320,5.4316,5.4322,5.4307,5.4321,5.4321,
0.31,5.4319,5.4303,5.4304,5.4298,5.4304,5.4307,
0.36,5.4328,5.4322,5.4317,5.4310,5.4322,5.4307,
0.32,5.4309,5.4305,5.4307,5.4293,5.4294,5.4293,
0.37,5.4334,5.4329,5.4320,5.4313,5.4318,5.4315,
0.33,5.4315,5.4311,5.4316,5.4320,5.4306,5.4314,
0.38,5.4337,5.4337,5.4325,5.4321,5.4322,5.4319,
0.34,5.4320,5.4310,5.4307,5.4295,5.4297,5.4294,
0.39,5.4339,5.4333,5.4341,5.4320,5.4339,5.4323,
0.35,5.4329,5.4328,5.4317,5.4315,5.4305,5.4308,
0.40,5.4339,5.4329,5.4330,5.4324,5.4317,5.4310,
0.36,5.4339,5.4314,5.4321,5.4318,5.4314,5.4309,
0.41,5.4348,5.4344,5.4337,5.4334,5.4333,5.4320,
0.42,5.4355,5.4344,5.4347,5.4329,5.4329,5.4322,
0.37,5.4333,5.4327,5.4321,5.4315,5.4305,5.4321,
0.43,5.4340,5.4341,5.4331,5.4319,5.4320,5.4322,
0.38,5.4339,5.4336,5.4321,5.4328,5.4305,5.4316,
0.44,5.4344,5.4343,5.4343,5.4324,5.4324,5.4312,
0.39,5.4343,5.4330,5.4332,5.4329,5.4313,5.4322,
0.1,5.4335,5.4322,5.4318,5.4304,5.4333,5.4333,5.4330,5.4321,5.4319,5.4324,5.4338,5.4312,5.4339,5.4335,5.4334,5.4317,
0.1,5.4335,5.4343,5.4345,5.4341,5.4328,5.4325,5.4328,5.4338,5.4338,5.4340,5.4331,5.4323,5.4340,5.4322,5.4326,5.4329,
0.2,5.4329,5.4351,5.4355,5.4360,5.4323,5.4353,5.4339,5.4340,5.4352,5.4338,5.4334,5.4330,5.4341,5.4350,5.4358,5.4330,
0.2,5.4331,5.4356,5.4319,5.4334,5.4322,5.4319,5.4342,5.4338,5.4321,5.4349,5.4341,5.4325,5.4304,5.4321,5.4308,5.4311,
0.3,5.4363,5.4358,5.4362,5.4340,5.4362,5.4350,5.4336,5.4350,5.4361,5.4347,5.4364,5.4347,5.4348,5.4352,5.4358,5.4348,
0.3,5.4366,5.4387,5.4379,5.4360,5.4389,5.4367,5.4375,5.4374,5.4394,5.4370,5.4375,5.4359,5.4373,5.4373,5.4360,5.4356,
0.4,5.4393,5.4384,5.4393,5.4399,5.4399,5.4404,5.4401,5.4375,5.4379,5.4385,5.4382,5.4393,5.4386,5.4392,5.4390,5.4399,
0.4,5.4391,5.4373,5.4380,5.4374,5.4390,5.4389,5.4368,5.4374,5.4376,5.4372,5.4373,5.4380,5.4373,5.4377,5.4369,5.4383,
0.5,5.4402,5.4383,5.4401,5.4393,5.4380,5.4386,5.4396,5.4393,5.4368,5.4368,5.4393,5.4393,5.4396,5.4370,5.4398,5.4379,
0.5,5.4391,5.4383,5.4390,5.4394,5.4379,5.4380,5.4374,5.4365,5.4390,5.4392,5.4382,5.4377,5.4383,5.4377,5.4376,5.4376,
0.6,5.4393,5.4407,5.4382,5.4383,5.4378,5.4373,5.4379,5.4385,5.4383,5.4393,5.4383,5.4405,5.4406,5.4394,5.4390,5.4383,
0.6,5.4387,5.4380,5.4385,5.4375,5.4392,5.4379,5.4393,5.4385,5.4388,5.4385,5.4388,5.4378,5.4384,5.4390,5.4380,5.4376,
0.7,5.4398,5.4390,5.4387,5.4384,5.4395,5.4404,5.4390,5.4386,5.4380,5.4379,5.4380,5.4385,5.4385,5.4395,5.4390,5.4383,
0.7,5.4381,5.4381,5.4380,5.4399,5.4402,5.4395,5.4386,5.4402,5.4392,5.4394,5.4393,5.4390,5.4378,5.4376,5.4383,5.4383,
0.8,5.4397,5.4388,5.4411,5.4407,5.4400,5.4374,5.4382,5.4388,5.4394,5.4386,5.4386,5.4368,5.4388,5.4408,5.4395,5.4389,
0.8,5.4384,5.4379,5.4399,5.4385,5.4377,5.4387,5.4382,5.4371,5.4382,5.4388,5.4387,5.4392,5.4379,5.4387,5.4373,5.4371,
